job_offer_id,client_name,job_offer_name,job_tag,job_offer_areas,job_offer_skill_names,employee_count,established,job_offer_min_salary,job_offer_max_salary,avg_salary
279930,株式会社 メンバーズ エンジニア事業,【AIF】生成AIエンジニア,AIエンジニア,['東京都'],[],2833,1995-05-31 15:00:00,500,1000.0,750.0
240939,UPWARD 株式会社,TECH｜リサーチエンジニア,その他,"['東京都', '大阪府']","['JavaScript', 'Java', 'TypeScript', 'AWS', 'Azure', 'Salesforce']",100,2002-02-28 15:00:00,500,1200.0,850.0
173306,OpenStreet 株式会社,データサイエンティスト,データサイエンティスト,['東京都'],"['Python', 'AWS', 'MySQL', 'GCP']",89,2016-10-31 15:00:00,540,745.0,642.5
269509,株式会社 アイディオット,データエンジニア,データエンジニア,['東京都'],"['PHP', 'Python', 'React', 'TypeScript', 'Android', 'AWS', 'MySQL', 'Laravel', 'Vue.js', 'Firebase', 'GCP', 'Flutter']",30,2014-10-31 15:00:00,400,900.0,650.0
259263,TOPPAN 株式会社,【シニアエンジニア】データエンジニア,データエンジニア,['東京都'],"['C#', 'SQL', 'PHP', 'Python', 'R', 'AWS', 'PostgreSQL', 'IoT', 'Azure', 'Google Cloud Platform', 'Oracle', 'GCP', 'SQLServer']",7972,2023-02-28 15:00:00,670,870.0,770.0
284062,株式会社 ユーティル,AIオペレーションマネージャー (CEO直下),その他,['東京都'],[],30,2015-03-31 15:00:00,700,1200.0,950.0
162761,株式会社 YOUTRUST,データエンジニア,データエンジニア,['東京都'],"['SQL', 'Python', 'AWS', 'MySQL', 'Google Cloud Platform', 'GCP']",104,2017-11-30 15:00:00,600,1000.0,800.0
262853,イオンスマートテクノロジー 株式会社,データ分析基盤システムリードエンジニア,その他,"['東京都', '千葉県']","['ASP', 'Azure']",454,2020-09-30 15:00:00,680,980.0,830.0
204400,株式会社 ベーシック,データエンジニア,データエンジニア,"['東京都', '大阪府', '新潟県']","['Python', 'React', 'Azure', 'Keras', 'pandas', 'GCP', 'Flask']",184,1982-08-31 15:00:00,400,900.0,650.0
283739,ちゅらデータ 株式会社,データサイエンティスト（シニア）,データサイエンティスト,"['沖縄県', 'フルリモート']",[],105,2017-07-31 15:00:00,900,900.0,900.0
271648,株式会社 大塚商会,データサイエンティスト,データサイエンティスト,['東京都'],"['SQL', 'Python']",7713,1961-06-30 15:00:00,550,1000.0,775.0
258314,株式会社 ブレインパッド,機械学習エンジニア,AIエンジニア,['東京都'],[],529,2004-02-29 15:00:00,600,800.0,700.0
275538,株式会社 TERASS,生成AIエンジニア,AIエンジニア,"['東京都', '神奈川県', '千葉県', '埼玉県']",['TypeScript'],80,2019-03-31 15:00:00,800,1000.0,900.0
136595,株式会社 ししまろ,データサイエンティスト,データサイエンティスト,['東京都'],"['SQL', 'Python', 'Scala', 'Go', 'R', 'Firebase']",10,2017-07-31 15:00:00,500,1000.0,750.0
178971,株式会社 分析屋,＜SQL・PG経験者採用＞【データ分析基盤エンジニア】実務担当,データエンジニア,"['東京都', '神奈川県']","['C', 'SQL', 'Java', 'Python', 'R', 'AWS', 'Azure', 'Oracle', 'GCP']",125,2011-07-31 15:00:00,300,600.0,450.0
248823,株式会社 RABO,データサイエンティスト,データサイエンティスト,['東京都'],"['SQL', 'Python', 'R', 'AWS', 'Docker', 'IoT', 'scikit-learn', 'SRE']",30,2018-01-31 15:00:00,800,1500.0,1150.0
189746,株式会社 ＦＦＲＩセキュリティ,ソフトウェアエンジニア（マルウェア検出エンジン研究開発）,その他,['東京都'],"['C', 'C++', 'Python']",134,2007-06-30 15:00:00,480,720.0,600.0
178605,RIZAPグループ 株式会社,RZG㈱_データマネジメント部_データアーキテクト,その他,"['東京都', 'フルリモート']","['SQL', 'Python', 'R', 'AWS', 'Azure', 'GCP', 'Spark']",5034,2003-03-31 15:00:00,600,1000.0,800.0
